name,subway,distance,service_rating,price,environment_rating,overall_rating,location_lat,location_lng
晴朗部落,金洲,797,3.8,50,3.9,4.4,22.805573,113.54635
洛奇先生餐吧,沙涌,896,2.2,117,3.3,4.5,23.095549,113.25915
专爱法式甜品(沙渡路店),沙涌,752,3.4,150,3.4,4.5,23.088764,113.2609
蠔一煲潮州海鲜砂锅粥,沙涌,944,2.4,54,1.9,4.4,23.093927,113.26134
叹域九号沙滩吧,沙涌,840,3,44,3.1,4.4,23.094976,113.25904
南粤嘉宴大酒楼,沙涌,971,2.9,53,2.6,4.3,23.095596,113.26019
葡庭红酒主题西餐厅,沙涌,743,2.7,79,3,4.3,23.093658,113.25911
倾吧,沙涌,786,3.85,61,3.85,4.3,23.09388,113.25946
顺德松记分店,沙涌,694,2.3,93,2.5,4.2,23.083084,113.25375
一心一境,沙涌,818,4.25,83,4.5,4.2,23.094921,113.25877
喜色(太古仓店),沙涌,769,4.35,92,4.4,4.1,23.094097,113.25903
The one 浪漫码头,沙涌,870,2.7,200,2.8,4.1,23.095345,113.25901
粥旺庄(芳村店),沙涌,386,2.2,52,2.3,4,23.086798,113.25615
唐苑酒家(太古仓店),沙涌,896,3,104,3.4,4,23.095793,113.25881
吉兆手握寿司(太古仓店),沙涌,805,0,85,0,4,23.094164,113.25944
红帆渔港,沙涌,880,2.2,54,2.3,4,23.093143,113.261116
拉斯维加斯式自助餐厅(太古仓分店),沙涌,908,4.5,108,4.5,4,23.095709,113.259125
欣荣酒家,沙涌,252,2.2,55,2.2,3.9,23.09156,113.253075
意泰极,沙涌,744,0,94,0,3.8,23.093817,113.25897
2号码头餐吧,沙涌,782,2.8,70,3.3,3.6,23.09466,113.258575
太古仓珠澋游艇会,沙涌,896,3,100,3,3.5,23.095793,113.25881
一味烧烤,芳村,342,2.8,41,2.8,5,23.106476,113.244545
全合回味馆,芳村,641,3,40,3,5,23.098553,113.24243
爱客多蛋糕店(芳村店),芳村,27,0,67,0,5,23.104183,113.24239
肥佬林景林美食酒楼,芳村,571,1.9,70,2,4.8,23.099178,113.24243
德生楼私房菜,芳村,966,2.6,40,2,4.6,23.095886,113.244484
抱抱芝士蛋糕(芳村店),芳村,81,3.9,133,3.65,4.6,23.104656,113.24287
鱼之鱼醉,芳村,776,3,50,3,4.5,23.097414,113.243324
佬湘楼(白鹅潭店),芳村,537,3,60,2.6,4.5,23.106344,113.24693
必胜客(荣兴路),芳村,765,3.2,42,3.2,4.4,23.0999,113.23642
雪贝尔艺术蛋糕坊(芳村大道中店),芳村,164,2,138,3.2,4.4,23.104124,113.24376
森道寿司(芳村店),芳村,116,3.7,45,3.7,4.3,23.103806,113.24316
臣福龙小东北(芳村分店),芳村,867,2.1,46,1.9,4.3,23.098576,113.23642
老潮,芳村,449,2.9,80,3,4.3,23.105925,113.23814
石头咕(芳村店),芳村,308,3.7,61,3.8,4.2,23.102987,113.24482
竹园风味庄(分店),芳村,271,3,58,3,4.2,23.106379,113.24358
汕头福合埕牛肉(花蕾店),芳村,648,3.2,57,3,4.2,23.09848,113.242294
大汗炭烧羊腿烧烤城,芳村,680,3.8,97,3.7,4.2,23.098204,113.2418
翠城酒家,芳村,605,2.6,55,2.8,4.1,23.09938,113.23964
鸿记煌三汁焖锅(芳村店),芳村,348,3.75,67,3.65,4.1,23.107449,113.242226
夼好挪威三文鱼(芳村花地店),芳村,693,3.7,74,3.55,4.1,23.098108,113.24148
洁荣美食,越秀公园,833,2.9,40,2.8,5,23.141226,113.27366
咖啡磨自助餐厅,越秀公园,316,3.5,225,4.5,5,23.145641,113.26476
大可以饭店(人民北店),越秀公园,740,3.3,85,3.6,4.8,23.14161,113.2627
文记海鲜砂锅粥盘福分店,越秀公园,514,3.1,63,3,4.6,23.141867,113.26667
东海海鲜酒家(流花店),越秀公园,717,3.1,129,3.8,4.6,23.146072,113.260735
绿岛西餐酒廊流花公园店,越秀公园,787,2.5,78,3.3,4.6,23.144964,113.2602
中国大酒店-四季厅,越秀公园,152,3.3,177,3.4,4.6,23.146,113.26631
南国宴乐,越秀公园,263,2.8,60,3.3,4.6,23.145618,113.265305
和风中华居食屋,越秀公园,544,3.2,58,2.5,4.5,23.1415,113.26802
THECOFFEECLUB卡啡客(FTC店),越秀公园,211,2.6,56,2.7,4.5,23.146912,113.265755
文客西餐厅,越秀公园,946,0,52,0,4.5,23.148096,113.258675
同人咖啡阁,越秀公园,632,4.5,99,4.5,4.5,23.146141,113.26156
澳门街(东方店),越秀公园,414,2.7,81,2.8,4.4,23.145126,113.26392
味稻皇(总店),越秀公园,877,2.1,62,2.5,4.4,23.147655,113.25928
中国大酒店扒房,越秀公园,152,3.6,287,3.8,4.4,23.146006,113.26631
城市酒吧,越秀公园,614,2.7,104,3,4.4,23.150885,113.27125
东方厅,越秀公园,316,2.5,115,3.3,4.3,23.145641,113.26476
筋头巴脑牛锅,越秀公园,697,2.9,57,2.8,4.3,23.140125,113.26808
中国大酒店-宴会厅,越秀公园,117,2.5,327,2.5,4.3,23.146029,113.26667
Ol S Cake鲜荟(东风中路店),越秀公园,983,3.3,51,3.2,4.3,23.137642,113.269196
琶洲威斯汀COHIBA,琶洲,439,3.85,100,3.85,5,23.102053,113.369804
广州香格里拉大酒店妙趣咖啡厅,琶洲,573,4.45,255,4.55,4.8,23.108536,113.37668
中国元素中餐厅,琶洲,444,3,198,3.1,4.7,23.101894,113.36989
赤沙大围渔王农庄,琶洲,837,3.7,62,3.65,4.7,23.098011,113.369026
Ming Court明阁,琶洲,627,3.1,160,3.2,4.6,23.103773,113.36709
星巴克(琶洲会展中心店),琶洲,355,3,40,3,4.5,23.106964,113.37095
知味全日,琶洲,444,3.4,232,3.4,4.4,23.101894,113.36989
香格里拉大酒店广州宴会厅,琶洲,573,4.5,600,3.4,4.4,23.10858,113.37661
香格里拉大堂酒廊,琶洲,551,3.1,90,3.1,4.4,23.108635,113.37617
威斯汀行政酒廊,琶洲,444,3.1,120,2.3,4.4,23.101894,113.36989
沛德福牛扒家宴总店,琶洲,577,3.7,224,3.7,4.3,23.10138,113.37768
The Open Kitchen豪厨,琶洲,634,3.4,299,3.5,4.3,23.103771,113.36702
LAVAZZA Espression,琶洲,624,3.1,40,2.5,4.2,23.104296,113.367065
妙趣咖啡厅,琶洲,551,3.5,265,3.8,4.1,23.108635,113.37617
皇室宴会,琶洲,930,3.2,77,4,3.9,23.103983,113.3641
夏宫中餐厅,琶洲,551,3.4,485,4,3.9,23.108635,113.37617
米芝饼店(琶洲店),琶洲,64,3.55,50,3.1,3.9,23.103937,113.37305
滩万日本料理,琶洲,551,3.3,370,3.7,3.7,23.108635,113.37617
大围农庄,琶洲,549,3.65,67,3.6,3.6,23.099741,113.37176
舞日本餐厅,琶洲,426,3.2,250,3.4,3.6,23.102095,113.36993
大树吧,祖庙,484,3.8,42,3.8,5,23.0354,113.12254
渔板长,祖庙,472,4.2,82,4.05,4.8,23.029408,113.121544
盈盛,祖庙,873,2.8,88,2.8,4.8,23.025103,113.12049
曼佗罗印度餐厅,祖庙,380,3.85,91,3.85,4.7,23.033815,113.115204
柏龙德国餐厅,祖庙,484,3.4,80,3.4,4.7,23.03543,113.12253
其乐宫,祖庙,398,3.3,79,3.3,4.6,23.030725,113.11558
三养堂(垂虹路店),祖庙,678,3,50,3,4.6,23.02685,113.120255
好巴食文苑总店,祖庙,358,1.9,44,2,4.6,23.029589,113.11913
今品酒业红酒馆,祖庙,484,2.9,50,2.9,4.6,23.028536,113.11975
后街唐厨,祖庙,572,3.3,72,3.4,4.5,23.036219,113.122925
蒸坊黄鳝饭私房菜,祖庙,660,4.5,42,4.5,4.5,23.02687,113.11925
大切外带寿司,祖庙,519,3.75,61,3.7,4.5,23.03614,113.11521
Koyama小山日本料理,祖庙,620,3.2,202,3.3,4.5,23.035797,113.12386
杯子红西餐厅(汾江店),祖庙,763,2.8,60,2.9,4.5,23.029972,113.11195
名仕阁美食公馆,祖庙,781,4.5,50,4.5,4.5,23.02989,113.1118
岭南天地马哥孛罗酒店-大堂酒廊,祖庙,495,0,190,0,4.5,23.03709,113.12004
味稻一号,祖庙,403,3.2,81,3.4,4.4,23.035519,113.12136
御海湾大酒楼,祖庙,959,1.8,62,2.5,4.4,23.024511,113.121376
nikuya home 肉之家,祖庙,643,3.55,121,3.7,4.4,23.03585,113.12409
鲍国演义(禅城店),祖庙,461,3.2,253,3.2,4.4,23.030758,113.11483
品致尊快餐,动物园,858,4.5,40,4.5,5,23.134388,113.31873
百乐门喜宴(东峻广场店),动物园,337,2,59,3,4.8,23.137608,113.31353
辉记潮州海鲜砂锅粥(广州大道中),动物园,822,2,89,2.2,4.8,23.138498,113.3215
佬湘楼(中山一路店),动物园,676,2.9,63,2.2,4.6,23.13516,113.316696
河南老家(香江园西北),动物园,996,2.8,70,2.1,4.5,23.144123,113.304825
拾壹餐饮(天龙店),动物园,891,3.75,54,3.75,4.5,23.142126,113.322365
东如家厨,动物园,589,2.8,44,2.8,4.5,23.14579,113.31514
食赣佳江西味道餐厅,动物园,818,4,70,4.4,4.5,23.137285,113.30667
凤园椰珍椰子鸡主题餐厅,动物园,244,4.2,108,4.55,4.4,23.140884,113.311424
