name,subway,distance,service_rating,price,overall_rating,facility_rating,hygiene_rating,location_lat,location_lng
拉美国际公寓(南沙店),金洲,751,0,138,4.6,0,0,22.801958,113.55172
广州准家公寓,金洲,849,4.4,166,4.5,4.4,4.5,22.806046,113.54464
广州南沙伊人客栈,金洲,677,4.3,605,4.5,4.3,4.6,22.804518,113.54497
红帆酒店,沙涌,861,4,128,4.1,3.8,4,23.092934,113.261024
广州太古仓江景酒店,沙涌,897,3.4,319,3.5,3.2,3.6,23.095861,113.258736
东华宾馆,沙涌,968,1,100,1,1,1,23.080643,113.25302
广州江畔国际青年旅舍,芳村,592,4,55,4,3.7,3.5,23.106157,113.247604
荔豪宾馆,芳村,836,3.5,98,4,4,3.5,23.110016,113.236824
渲鹏旅店,芳村,510,1,97,4,1,1,23.09996,113.24376
逸米酒店(广州芳村码头店),芳村,579,4.1,138,3.9,3.8,4.1,23.106392,113.24736
花地大厦酒店,芳村,619,4.1,159,3.9,3.9,4.1,23.09944,113.239235
洛芙特酒店创意园店,芳村,841,4.1,220,3.9,4,4.1,23.101088,113.2496
广州英姿快捷酒店,芳村,687,3.8,129,3.9,3.8,3.8,23.099924,113.23743
鹅潭风景旅舍,芳村,362,4,99,3.8,3.6,3.7,23.107248,113.243706
天源宾馆,芳村,332,2,104,3.7,2,2.5,23.10622,113.24466
新世纪酒店,芳村,542,3.9,96,3.6,3.5,3.8,23.10147,113.23785
廉江大厦,芳村,347,3.7,88,3.6,3.2,3.4,23.103323,113.24539
柏浩商务酒店,芳村,771,3.9,162,3.6,3.8,4.2,23.107208,113.235306
锦惠宾馆(芳村大道中),芳村,88,2.4,127,3.5,3.7,3.7,23.103828,113.24286
凯丽宾馆,芳村,253,4,110,3.3,3.6,4,23.105604,113.2442
常聚宾馆,芳村,485,2.9,85,3,2.8,3.5,23.100246,113.24044
金旺宾馆,芳村,332,3.8,0,3,2.7,2.7,23.10622,113.24466
富丽宾馆(东潡北路店),芳村,492,1,88,2.8,1,1,23.103811,113.23738
沁园宾馆,芳村,360,2.7,98,2.8,2.2,2.2,23.10667,113.24458
景泰宾馆,芳村,705,0,108,2.4,0,0,23.1,113.2371
广州茗城宾馆,芳村,937,3,87,2.4,2,2,23.107622,113.233734
广州中国大酒店(首层食街),越秀公园,120,3.7,0,5,4,4,23.14614,113.2666
广州中山纪念堂和颐酒店,越秀公园,734,5,268,4.7,5,5,23.139978,113.26598
铂顿国际公寓(广州中山纪念堂店),越秀公园,989,4.4,332,4.6,4.6,4.6,23.137484,113.267845
广州荔湾友缘公寓,越秀公园,925,1,68,4.6,1,1,23.151611,113.260704
中国大酒店,越秀公园,153,4.5,729,4.5,4.4,4.5,23.146467,113.26624
全季酒店广州越秀公园店,越秀公园,393,4.5,314,4.5,4.4,4.5,23.143002,113.26888
广州桐舍酒店(火车站店),越秀公园,612,4.3,246,4.5,4.3,4.5,23.15156,113.2657
惠风和宾馆,越秀公园,968,4.5,0,4.5,3,3.5,23.15507,113.26848
东方宾馆,越秀公园,324,4.4,555,4.4,4.2,4.4,23.145174,113.26486
锦江之星酒店(中山纪念堂店),越秀公园,777,4.5,229,4.4,4.3,4.5,23.139402,113.2681
广州星和香江国际酒店,越秀公园,798,4.3,289,4.4,4.2,4.4,23.153522,113.2669
7天连锁酒店(纪念堂地铁站店),越秀公园,981,4.4,158,4.4,4.2,4.4,23.137655,113.269135
