name,subway,distance,service_rating,price,environment_rating,overall_rating,location_lat,location_lng
广州太古仓电影库,沙涌,890,0,80,0,1,23.095448,113.25919
金光海岸国际水会,芳村,544,0,113,0,3.1,23.103798,113.23687
盛会,芳村,754,0,100,0,2.4,23.097672,113.24066
西部牛仔KTV,芳村,681,0,100,0,4,23.098272,113.24331
芳草堂,芳村,649,0,99,0,4.2,23.09998,113.2379
健行轩推拿,越秀公园,56,0,68,0,5,23.145893,113.2676
棕南海SPA水疗,越秀公园,345,0,233,0,3.5,23.146324,113.264366
成功路卡拉ok歌舞厅,越秀公园,124,0,60,0,4,23.1474,113.26722
碧澄健康中心(越秀店),越秀公园,989,0,68,0,4.5,23.138954,113.26242
金之辉娱乐城,越秀公园,543,0,78,0,3.7,23.141682,113.2663
仙足足道,越秀公园,652,0,88,0,4.4,23.142115,113.26337
颐尊水疗(瑞士恒安店),祖庙,509,0,180,0,4.3,23.032352,113.1138
奥斯兰帝保健休闲中心,祖庙,373,0,158,0,3.1,23.029516,113.11797
步步高沐足阁卫国分店,祖庙,617,0,88,0,4.3,23.029633,113.12371
金城大酒店-步云阁沐足中心,祖庙,437,0,183,0,4.3,23.031805,113.11461
千足堂沐足休闲中心,祖庙,949,0,114,0,4.2,23.0413,113.1196
红灯笼沐足,祖庙,638,0,98,0,3.9,23.030767,113.112915
海怡阁,祖庙,445,0,110,0,4.2,23.03319,113.11442
新海悦足道养生,祖庙,718,0,118,0,4.1,23.039194,113.11779
豪城沐足,祖庙,957,0,76,0,3.9,23.040457,113.123024
飞来阁沐足中心,祖庙,693,0,50,0,3.7,23.038982,113.11789
金盆池足浴,祖庙,716,0,158,0,3.5,23.032745,113.125755
玉玄宫,祖庙,434,0,200,0,5,23.029606,113.1212
海迪沐足,祖庙,941,0,79,0,3.5,23.024591,113.12102
康扬健康推拿,祖庙,781,0,60,0,4.8,23.02989,113.1118
珠江休闲,祖庙,917,0,118,0,3,23.041042,113.11852
朝歌KTV,动物园,48,0,69,0,3.8,23.140308,113.31349
枕边游戏(环市东店),动物园,138,0,200,0,3.5,23.140446,113.312454
东浚水汇,动物园,342,0,326,0,2.9,23.137571,113.31346
健一推拿(水荫直街),动物园,503,0,59,0,4.2,23.144842,113.31563
金怡足道(水荫路店),动物园,960,0,100,0,3.6,23.147524,113.319466
足满堂(广联店),动物园,814,0,116,0,4,23.13737,113.30666
圣丰索菲特大酒店-水疗中心,动物园,915,0,1500,0,5,23.144041,113.32195
健康人休闲中心(中山一分店),动物园,778,0,74,0,3.4,23.134808,113.318016
逸康推拿理疗,动物园,787,0,68,0,5,23.133585,113.313065
龙腾休闲会所,动物园,865,0,352,0,-1,23.14671,113.319084
广州塞纳河之夜,动物园,935,0,1300,0,3.5,23.143694,113.32232
金燊汗蒸养生馆(水荫路店),动物园,703,0,88,0,4.4,23.145536,113.318146
花城广场,猎德,901,0,140,0,4.7,23.120588,113.331055
润元堂,猎德,195,0,132,0,4,23.12588,113.33979
广州金逸国际影城(维家思店),猎德,884,0,55,0,4.3,23.130981,113.334114
御都桑拿,猎德,951,0,269,0,4.2,23.131964,113.3431
芭黎晚香私人形象定制,猎德,433,0,348,0,-1,23.12538,113.33479
康逸居保健(海安店),猎德,933,0,153,0,4.7,23.130592,113.34496
广州碧桂园康乐部,南浦,452,0,60,0,5,23.037111,113.29689
富蓉堂休闲会所,南浦,311,0,118,0,2.2,23.037624,113.29841
富蓉堂沐足,南浦,242,0,168,0,2.3,23.03819,113.29868
财神棋艺休闲中心,员村,386,0,130,0,3.5,23.118078,113.37053
翔峰沐足,员村,664,0,100,0,3.4,23.12544,113.36549
手功王(员村店),员村,647,0,216,0,4.4,23.127274,113.36925
克莱顿酒店-沐足,员村,897,0,98,0,4.3,23.121225,113.37919
陶醉馆,员村,872,0,94,0,-1,23.124565,113.36254
汇茵中医会馆,员村,816,0,68,0,2,23.125252,113.363525
金御湾休闲沐足城,澜石,619,0,111,0,2.8,22.989906,113.11981
禾居水疗中心,番禺广场,261,0,300,0,4.5,22.941137,113.389404
新悦沐足,番禺广场,610,0,108,0,3.8,22.946783,113.38925
飞扬88量版KTV,番禺广场,829,0,80,0,4.5,22.946995,113.38599
扶元堂(东瀚园店),番禺广场,956,0,96,0,4,22.941599,113.40118
幸福盲人按摩院,番禺广场,994,0,200,0,3.7,22.936014,113.38447
居氏颈肩腰自然法,番禺广场,713,0,100,0,5,22.946817,113.38744
花城广场,海心沙,367,0,140,0,4.7,23.120588,113.331055
广州大剧院,海心沙,476,0,298,0,4.7,23.121054,113.32866
芭黎晚香私人形象定制,海心沙,984,0,348,0,-1,23.12538,113.33479
帝景酒店沐足中心,海心沙,947,0,78,0,5,23.109213,113.33384
瑞足轩商务养生会所,海心沙,996,0,75,0,4.4,23.111092,113.32385
金盆池足浴,普君北路,371,0,158,0,3.5,23.032745,113.125755
步步高沐足阁卫国分店,普君北路,715,0,88,0,4.3,23.029633,113.12371
博爱盲人推拿(虎门店),普君北路,515,0,70,0,-1,23.035095,113.134026
玉玄宫,普君北路,934,0,200,0,5,23.029606,113.1212
堂会KTV(机场店),白云公园,593,0,69,0,4.2,23.186766,113.271675
汇都国际水疗会,白云公园,732,0,390,0,4.2,23.189808,113.28422
SiN Key罪恶之匙密室逃脱（5号停机坪店）,白云公园,654,0,51,0,3.9,23.188408,113.27095
傲云谷保健按摩中心,市二宫,505,0,216,0,3.7,23.112814,113.27138
健怡推拿,市二宫,883,0,95,0,3.4,23.10754,113.269295
富侨保健(广州旗舰店),市二宫,775,0,70,0,3.1,23.11514,113.26939
金辉健康中心,市二宫,736,0,90,0,4,23.112913,113.28343
聚脚点(前进路),市二宫,854,0,61,0,4.3,23.107233,113.28262
小朱沐足馆（海珠店）,市二宫,504,0,89,0,3,23.114403,113.28061
聚龙湾温泉广州办,市二宫,906,0,83,0,5,23.106434,113.270035
富侨棋牌沐足,市二宫,768,0,61,0,3.4,23.115074,113.269424
广州筋骨堂（海珠）总店,市二宫,775,0,120,0,5,23.112848,113.26872
月茗居,市二宫,893,0,50,0,4.2,23.104195,113.27602
脊柱梳理(怡安路店),市二宫,452,0,69,0,4.1,23.114166,113.28016
足三里,市二宫,952,0,83,0,-1,23.109703,113.26737
摩斯广州真人密室逃脱,市二宫,941,0,52,0,3.8,23.118126,113.28288
