name,subway,distance,overall_rating,location_lat,location_lng
蕉门公园,金洲,958,4,22.802357,113.53712
广州志愿者公园,沙涌,668,5,23.091915,113.25947
荔湾区儿童公园,沙涌,614,4.8,23.09036,113.247665
陶艺中心,沙涌,802,3,23.08213,113.253975
聚龙古村,沙涌,810,2,23.094051,113.24753
嘻哈儿童乐园,芳村,485,4.8,23.100246,113.24044
小蓬仙馆,芳村,450,4.3,23.10591,113.23811
黄大仙祠,芳村,951,4,23.100775,113.23369
醉观公园,芳村,455,4,23.105082,113.23779
珠江夜游芳村码头,芳村,604,3.4,23.107065,113.24725
珠江夜游,芳村,594,3.3,23.106998,113.24719
粤秀书院,越秀公园,385,5,23.146038,113.2715
五仙人雕塑,越秀公园,346,5,23.143951,113.26987
魅力极限TODES俄罗斯托迪斯舞蹈团全国巡演,越秀公园,652,5,23.1512,113.2641
未晚亭,越秀公园,618,5,23.147568,113.27366
越秀公园,越秀公园,458,4.5,23.146397,113.27223
孙中山先生铜像,越秀公园,871,4.5,23.139143,113.27101
高剑父纪念馆,越秀公园,402,4.5,23.142767,113.26775
中山纪念堂,越秀公园,811,4.4,23.139774,113.2711
西汉南越王博物馆,越秀公园,247,4.4,23.144169,113.267555
草暖公园,越秀公园,727,4.4,23.152925,113.26745
广州博物馆,越秀公园,498,4.3,23.144093,113.271935
开心麻花剧场,越秀公园,665,4.3,23.151262,113.26398
五羊石雕,越秀公园,300,4.2,23.144146,113.26939
广州兰圃,越秀公园,403,4.2,23.149935,113.26691
三元宫,越秀公园,658,4.2,23.140697,113.26954
广州美术馆,越秀公园,709,4.2,23.14386,113.27412
广州古城墙,越秀公园,472,4.1,23.142635,113.26991
炮台,越秀公园,510,4,23.143793,113.271866
先贤清真寺,越秀公园,613,4,23.151878,113.26722
孙中山读书治事处纪念碑,越秀公园,691,3.9,23.141094,113.2713
琶洲国际采购中心,琶洲,740,5,23.107683,113.366806
广州市国际会展中心B区,琶洲,286,4.8,23.106619,113.37156
广州市国际会展中心A区,琶洲,608,4.6,23.107182,113.36798
广州国际汽车展览会,琶洲,619,4.5,23.107136,113.36783
广州市国际会展中心,琶洲,701,4.4,23.107054,113.3669
保利世贸博览馆,琶洲,98,4.4,23.103718,113.372734
中国进出口商品交易会(阅江中路),琶洲,553,4.4,23.107609,113.36894
大围公园,琶洲,802,4,23.097368,113.372
保利国际广场-西馆展览中心,琶洲,752,4,23.109537,113.37809
琶洲塔,琶洲,954,3.9,23.107384,113.381966
琶洲国际会展中心c区,琶洲,432,3,23.103334,113.36914
天主教圣母无原罪堂,祖庙,838,5,23.031822,113.12688
钟楼,祖庙,571,5,23.035566,113.12345
广东粤剧博物馆,祖庙,820,5,23.032991,113.12677
紫霄宫,祖庙,314,5,23.035145,113.120476
褒宠牌坊,祖庙,291,5,23.035051,113.1202
庆真楼,祖庙,335,5,23.035402,113.120415
基督教赉恩堂,祖庙,857,4.7,23.039907,113.12198
兆祥公园,祖庙,808,4.4,23.032867,113.126656
佛山黄飞鸿纪念馆,祖庙,366,4.2,23.035744,113.12035
泥模岗,祖庙,128,4,23.033953,113.11877
置业公园,祖庙,928,4,23.02759,113.11166
垂虹公园,祖庙,773,3.9,23.025845,113.11858
李众胜堂祖铺,祖庙,416,3.8,23.035206,113.121864
祖庙,祖庙,254,3.7,23.034735,113.12008
清咸丰黄祥华祖铺,祖庙,501,3.7,23.03575,113.12246
余仁生博物馆,祖庙,459,3.7,23.035215,113.1224
仁寿寺,祖庙,706,3.5,23.039087,113.119705
金银岛水城,祖庙,808,3.5,23.026129,113.1156
文会里嫁娶屋,祖庙,542,3.3,23.035833,113.1229
佛山乐园,祖庙,760,3.2,23.02642,113.116066
浣熊,动物园,929,5,23.148563,113.31093
广东省工艺美术珍品馆,动物园,334,5,23.137709,113.31454
抗日亭,动物园,962,5,23.148893,113.31661
广州动物园-猛兽区,动物园,816,5,23.147228,113.31027
广州动物园恐龙馆,动物园,198,4.5,23.142422,113.31378
欢乐世界,动物园,297,4,23.14331,113.313805
广州动物园,动物园,740,3.9,23.147036,113.31179
东山宾馆-会议中心,动物园,902,3.4,23.13646,113.30623
白云区科技馆,动物园,732,3,23.145817,113.30937
广州动物园名犬世界,动物园,609,3,23.145676,113.31145
猎德鼓塔,猎德,381,5,23.121264,113.34052
龙母庙,猎德,531,5,23.119951,113.340935
华光庙(海月路),猎德,531,5,23.119951,113.340935
广东省博物馆,猎德,701,4.7,23.12053,113.333405
珠江公园(金穗路),猎德,719,4.3,23.125715,113.34574
天后庙,猎德,537,4.3,23.119772,113.33715
花城广场音乐喷泉,猎德,799,4,23.123512,113.3311
