name,lat,lng,io_quantity,line_number
体育西路,23.13692,113.328026,,3
坦尾,23.131086,113.22471,,2
公园前,23.131645,113.270645,,2
万胜围,23.103968,113.3912,,2
车陂南,23.121956,113.396614,,2
石壁,23.000412,113.284805,,2
海珠广场,23.121204,113.2723,,2
燕塘,23.165941,113.334045,,2
林和西,23.147142,113.330345,,2
区庄,23.140194,113.303406,,2
东山口,23.130339,113.30222,,2
天河客运站,23.176464,113.35038,,2
广州火车站,23.153769,113.26234,,2
客村,23.102118,113.32712,,2
嘉禾望岗,23.243797,113.295105,,2
广州东站,23.15581,113.33083,,2
大学城南,23.049726,113.40698,,2
珠江新城,23.125212,113.32769,,2
沙园,23.094702,113.26697,,2
西朗,23.070984,113.23861,,2
杨箕,23.133238,113.31468,,2
汉溪长隆,22.999313,113.336754,,2
昌岗,23.096952,113.2833,,2
黄沙,23.115728,113.246956,,2
广州塔,23.111992,113.32979,,2
金融高新区,41.823,123.44258,,1
黄阁,22.830976,113.52519,,1
体育中心,23.140741,113.33494,,1
钟村,22.99215,113.32292,,1
厦滘,23.043327,113.32727,,1
中山八,23.131227,113.239456,,1
江夏,23.217573,113.28964,,1
坑口,23.084633,113.23904,,1
潭村,23.12306,113.35257,,1
烈士陵园,23.132935,113.29218,,1
北京路,23.124931,113.27648,,1
石牌桥,23.13898,113.3382,,1
鹭江,23.101372,113.31476,,1
苏元,23.176355,113.47452,,1
大石,23.023518,113.32809,,1
官洲,23.073092,113.38324,,1
晓港,23.099352,113.288345,,1
沙贝,23.157883,113.21794,,1
人和,23.341557,113.30246,,1
燕岗,23.08282,113.277115,,1
季华园,23.01284,113.11509,,1
东平,22.971287,113.13567,,1
海傍,22.945145,113.481964,,1
南桂路,23.040302,113.16049,,1
南村万博,23.010395,113.35449,,1
鹤洞,23.078117,113.24632,,1
沙河顶,23.153135,113.31344,,1
新造,23.034557,113.42206,,1
飞翔公园,23.17509,113.270096,,1
洛溪,23.049313,113.305214,,1
妇儿中心,23.128275,113.331215,,1
新港东,23.104483,113.3637,,1
低涌,22.92561,113.49129,,1
东涌,22.891346,113.485535,,1
桂城,23.037745,113.147804,,1
鱼珠,23.10609,113.43874,,1
龙洞,23.197317,113.384186,,1
河沙,23.140818,113.22407,,1
石碁,22.962954,113.4718,,1
大沙东,23.11195,113.464836,,1
员岗,23.021921,113.37257,,1
魁奇路,22.999866,113.11518,,1
黄花岗,23.147434,113.30651,,1
金峰,23.186771,113.457794,,1
同和,23.203049,113.33274,,1
浔峰岗,23.170073,113.20826,,1
花城大道,23.124832,113.33128,,1
五羊邨,23.12577,113.32079,,1
文化公园,23.115126,113.25618,,1
文冲,23.109486,113.4755,,1
市桥,22.955488,113.368355,,1
西门口,23.131304,113.262405,,1
体育中心南,23.139833,113.33019,,1
滘口,23.130991,113.239586,,1
天平架,23.16524,113.32791,,1
蕉门,22.806852,113.534004,,1
龙归,23.294975,113.30738,,1
板桥,23.022993,113.394394,,1
京溪南方医院,23.191004,113.33267,,1
暹岗,23.178158,113.46672,,1
高塘石,23.197275,113.41682,,1
东晓南,23.077435,113.30085,,1
长湴,23.184202,113.35591,,1
凤凰新村,23.100533,113.262665,,1
金洲,22.798447,113.545456,,1
白云文化广场,23.196198,113.28202,,1
同济路,23.024725,113.11494,,1
东圃,23.115747,113.40807,,1
白云大道北,23.228397,113.30506,,1
赤岗,23.10211,113.34156,,1
永泰,23.226309,113.31289,,1
淘金,23.142698,113.29314,,1
横沙,23.163816,113.21329,,1
华师,23.146269,113.35186,,1
宝岗大道,23.092186,113.27615,,1
香雪,23.178663,113.50744,,1
广州南站,22.995323,113.27679,,1
机场南,23.392344,113.30939,,1
如意坊,23.120728,113.238205,,1
岗顶,23.14054,113.34615,,1
三溪,23.110237,113.4223,,1
中大,23.09831,113.29956,,1
纪念堂,23.138256,113.26981,,1
科韵路,23.12527,113.38396,,1
沙涌,23.089333,113.25357,,1
芳村,23.104311,113.242165,,1
越秀公园,23.146385,113.267746,,1
琶洲,23.104507,113.37317,,1
祖庙,23.032795,113.11875,,1
动物园,23.140635,113.3138,,1
猎德,23.12434,113.338875,,1
南浦,23.040016,113.29999,,1
员村,23.12155,113.37042,,1
澜石,22.989979,113.113754,,1
番禺广场,22.941841,113.39184,,1
海心沙,23.117287,113.33089,,1
普君北路,23.033514,113.12929,,1
新城东,22.964909,113.14641,,1
白云公园,23.18798,113.277336,,1
市二宫,23.112226,113.276276,,1
南洲,23.069927,113.30437,,1
小北,23.145765,113.282936,,1
花地湾,23.092833,113.240555,,1
天河南,23.137094,113.330696,,1
菊树,23.07193,113.219246,,1
龙溪,23.071892,113.19918,,1
黄埔大道,23.132683,113.33092,,1
五山,23.158306,113.35845,,1
江南西,23.103579,113.28034,,1
千灯湖,23.061348,113.16198,,1
西村,23.148022,113.24845,,1
大塘,23.083675,113.32823,,1
农讲所,23.132935,113.28178,,1
车陂,23.130747,113.40188,,1
谢村,22.996763,113.30276,,1
黄边,23.228138,113.29371,,1
东湖,23.12151,113.29525,,1
三元里,23.165354,113.2637,,1
一德路,23.11909,113.2637,,1
萧岗,23.204681,113.28681,,1
沥滘,23.060698,113.3256,,1
黄村,23.138552,113.413704,,1
团一大广场,23.124252,113.28457,,1
萝岗,23.181238,113.4885,,1
西场,23.143118,113.24456,,1
世纪莲,22.970945,113.12102,,1
会江,23.019115,113.29295,,1
梅花园,23.181273,113.32694,,1
大剧院,23.121342,113.331245,,1
朝安,23.033678,113.1402,,1
陈家祠,23.131613,113.25278,,1
长寿路,23.124098,113.24859,,1
江泰路,23.088394,113.287,,1
磨碟沙,23.104301,113.34803,,1
黄阁汽车城,22.842228,113.51606,,1
大学城北,23.064522,113.39193,,1
大沙地,23.108854,113.45257,,1
黄陂,23.194286,113.439606,,1
礌岗,23.04932,113.16182,,
